schemaVersion,recordType,source_name,source_url,content_title,content_authors,content_paper_url,content_pdf_url,content_github_url,content_github_stars,content_published_date,content_primary_category,collectedAt
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04071v1,TAP-Path: Task-Adaptive Structural and Token Pruning for Efficient and Trustworthy Pathology Foundation Models,Mehedi Hasan; Ashfak Yeafi; Md Khairul Islam,http://arxiv.org/abs/2609.04071v1,https://arxiv.org/pdf/2609.04071v1,,,2026-09-03T16:43:36+00:00,cs.CV,2026-09-05T16:36:56.674800+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04066v1,Subspace Inference Enables Efficient Active Reward Learning from Preferences,Yutai Zhou; Erdem Bıyık,http://arxiv.org/abs/2609.04066v1,https://arxiv.org/pdf/2609.04066v1,https://github.com/yutaizhou/bnn_pref,0,2026-09-03T16:39:55+00:00,cs.LG,2026-09-05T16:36:57.963579+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04063v1,Spurious Advantage Hidden in GRPO,Jiamian Wang; Samyadeep Basu; Koustava Goswami; Tong Yu; Zhiqiang Tao,http://arxiv.org/abs/2609.04063v1,https://arxiv.org/pdf/2609.04063v1,,,2026-09-03T16:37:31+00:00,cs.AI,2026-09-05T16:36:57.963635+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04061v1,When Models Edit Too Much: On the Fidelity of Minimal Code Edits,Tongyao Zhu; Wei Hern Lim; Min-Yen Kan,http://arxiv.org/abs/2609.04061v1,https://arxiv.org/pdf/2609.04061v1,,,2026-09-03T16:36:05+00:00,cs.SE,2026-09-05T16:36:57.963648+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04048v1,Translation as a Decision Space: A Multi-Agent Perspective on Low-Resource Dialect Generation,Hasan Alkhder; Mohammad Abboush; Igor Tchappi; Ahmet Zengin; Amro Najjar,http://arxiv.org/abs/2609.04048v1,https://arxiv.org/pdf/2609.04048v1,,,2026-09-03T16:22:18+00:00,cs.CL,2026-09-05T16:36:57.963662+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04030v1,IRWOZ 2.0: A Large Language Model-driven Dialogue Dataset for Industrial Robot Conversations,Chen Li; Dimitrios Chrysostomou,http://arxiv.org/abs/2609.04030v1,https://arxiv.org/pdf/2609.04030v1,,,2026-09-03T16:08:57+00:00,cs.AI,2026-09-05T16:36:57.963680+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04028v1,Influence of Extruded Filament Shape on Buildability in 3D Concrete Printing: A Geometry-Informed Deep Learning-FEM Approach,Giacomo Rizzieri;  Saif-Ur-Rehman; Jörg F. Unger; Annika Robens-Radermacher,http://arxiv.org/abs/2609.04028v1,https://arxiv.org/pdf/2609.04028v1,,,2026-09-03T16:08:19+00:00,cs.CE,2026-09-05T16:36:57.963695+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04024v1,Instruction Duplication as an Inference-Time Control Primitive,Victor Lavrenko,http://arxiv.org/abs/2609.04024v1,https://arxiv.org/pdf/2609.04024v1,https://github.com/victorlavrenko/answer-engineering,32,2026-09-03T16:05:21+00:00,cs.AI,2026-09-05T16:36:59.248246+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04022v1,Representational alignment yields generalizable safety in language models,Lingyu Li; Yan Teng; Yingchun Wang; Xia Hu,http://arxiv.org/abs/2609.04022v1,https://arxiv.org/pdf/2609.04022v1,,,2026-09-03T16:00:16+00:00,cs.CL,2026-09-05T16:36:59.248304+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04021v1,FLY-EVAL++: An Evidence-Driven Evaluation Protocol for Safety-Constrained Flight Prediction with Large Language Models,Yalun Wu; Junfeng Fang; Jiawei Wang; Haotian Liu; Qijun Yang; Minghan Yang; Hongcheng Guo; Zhoujun Li; Boyang Wang,http://arxiv.org/abs/2609.04021v1,https://arxiv.org/pdf/2609.04021v1,,,2026-09-03T16:00:02+00:00,cs.AI,2026-09-05T16:36:59.248318+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04015v1,Hierarchical automation of scanning probe microscopy through agentic orchestration and algorithmic control,Boris N. Slautin; Sheryl L. Sanchez; Aidan Swanger; Yu Liu; Gerd Duscher; Vladimir V. Shvartsman; Mahshid Ahmadi; Sergei V. Kalinin,http://arxiv.org/abs/2609.04015v1,https://arxiv.org/pdf/2609.04015v1,,,2026-09-03T15:54:24+00:00,cond-mat.mtrl-sci,2026-09-05T16:36:59.248331+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04014v1,InSituMeasure: Probing Situated Measurement Grounding in Industrial Scenes with Multimodal Large Language Models,Chao Shen; Xinyuan Li; Yunfan Zhou; Jianguo Yao; Haibing Guan; Zhihai Wang; Xijun Li,http://arxiv.org/abs/2609.04014v1,https://arxiv.org/pdf/2609.04014v1,,,2026-09-03T15:54:21+00:00,cs.AI,2026-09-05T16:36:59.248341+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04013v1,LLM4CKD: Large Language Models for Early Stage Chronic Kidney Disease Screening,Muhammad Ashad Kabir; Sirajam Munira,http://arxiv.org/abs/2609.04013v1,https://arxiv.org/pdf/2609.04013v1,,,2026-09-03T15:53:20+00:00,cs.AI,2026-09-05T16:36:59.248352+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04009v1,The Blind Spot in 2D Infants' Pose Estimation:Robust Learning from Noisy Annotations,Emanuele Cardinale; Marco Proietti; Alessandro Cacciatore; Maria Francesca Spadea; Lucia Migliorelli; Sara Moccia,http://arxiv.org/abs/2609.04009v1,https://arxiv.org/pdf/2609.04009v1,,,2026-09-03T15:47:56+00:00,cs.CV,2026-09-05T16:36:59.248362+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.04005v1,The Dually Flat Geometry of Planning as Inference,Nikola Milosevic; Asaki Kataoka; Nicolas Hinrichs; Kenji Doya; Nico Scherf,http://arxiv.org/abs/2609.04005v1,https://arxiv.org/pdf/2609.04005v1,,,2026-09-03T15:44:47+00:00,cs.AI,2026-09-05T16:36:59.248373+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03995v1,Catalogue Photography as a Cold Start: Toward Deployable Carbide Burr Recognition,Abilash Philip Madavath; Chandra Yuvesh Aubeeluck; Augustin Raju; Nicolas Pyschny; Felix Hackelöer; Florian Zwanzig,http://arxiv.org/abs/2609.03995v1,https://arxiv.org/pdf/2609.03995v1,,,2026-09-03T15:36:12+00:00,cs.CV,2026-09-05T16:36:59.248384+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03977v1,Cooperative Multi-Task Semantic Communication for Joint Classification and Regression Tasks,Ahmad Halimi Razlighi; Mohammad Siddiqur Rahman; Maximilian H. V. Tillmann; Edgar Beck; Armin Dekorsy,http://arxiv.org/abs/2609.03977v1,https://arxiv.org/pdf/2609.03977v1,,,2026-09-03T15:13:25+00:00,eess.SP,2026-09-05T16:36:59.248397+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03973v1,Common-Witness Certificates and Sharp Feature Bounds for Counterfactual Image Auditing,Usef Faghihi; Amir Saki,http://arxiv.org/abs/2609.03973v1,https://arxiv.org/pdf/2609.03973v1,,,2026-09-03T15:09:52+00:00,cs.AI,2026-09-05T16:36:59.248408+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03967v1,Investigating the Ability of Large Language Models to Analyze Recipes for Diabetes,Revathy Venkataramanan; Aditya Luthra; Venkatesan Nadimuthu; Amit Sheth,http://arxiv.org/abs/2609.03967v1,https://arxiv.org/pdf/2609.03967v1,,,2026-09-03T15:03:36+00:00,cs.CL,2026-09-05T16:36:59.248418+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03966v1,Interface-Induced Trajectory Censoring,Wenbo Wang,http://arxiv.org/abs/2609.03966v1,https://arxiv.org/pdf/2609.03966v1,https://github.com/nebula-1999/Interface-Induced-Trajectory-Censoring,0,2026-09-03T15:00:31+00:00,cs.AI,2026-09-05T16:37:00.546651+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03960v1,FiMI Banking: A Sovereign Model for Indian Retail Banking, NPCI AI Research Team; Aman Kumar; Asit Desai; Chandra Bhushan; Harsh Sharma; Harshit Bhushan; Hrithik Kadam; Keyur Doshi; Kolisetty Sai Kapardheeswar; Krishanu Adhikary; Nadeem Shaik; Navya Prakash; Nitin Kukreja; Prashant Devadiga; Shamanth MH; Shantanu Pandey; Suvradip Paul; Yatharth Dedhia,http://arxiv.org/abs/2609.03960v1,https://arxiv.org/pdf/2609.03960v1,,,2026-09-03T14:56:59+00:00,cs.AI,2026-09-05T16:37:00.546722+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03956v1,RARF: Region-Aware Rectified Flows for 3D Brain MRI Inpainting,Tomas Guija-Valiente; Blanca Rodriguez-Gonzalez; Norberto Malpica; Angel Torrado-Carvajal,http://arxiv.org/abs/2609.03956v1,https://arxiv.org/pdf/2609.03956v1,https://github.com/TomasGuija/rarf,1,2026-09-03T14:55:57+00:00,cs.CV,2026-09-05T16:37:03.609020+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03943v1,More Criticism Does Not Make a Better Review: EquiReview-R,Zexing Zhang; Jichao Li; Tianyang Lei; Yude Fu; Yang Kewei,http://arxiv.org/abs/2609.03943v1,https://arxiv.org/pdf/2609.03943v1,,,2026-09-03T14:49:24+00:00,cs.AI,2026-09-05T16:37:03.609089+00:00
